target_count,seed_index,seed_j,seed_meas,mode,success,result_valid,result_index,trial_count,l_bbht,actual_iter,cycle_count,timer_hi,timer_lo,status,timeout,unexpected_error,terminal_limit,elapsed_us
1,0,0x7b1dcdaf,0x24370df2,1,1,1,507,25,308,70,30913,0,314,0x0000080c,0,0,0,314
1,1,0x3a85a4dc,0xa3b9aa35,1,1,1,507,15,23,9,7857,0,83,0x0000080c,0,0,0,83
1,2,0x6162a8b2,0x871c276f,1,1,1,507,22,181,40,18591,0,191,0x0000080c,0,0,0,191
1,3,0xc3adc34e,0xf5b8f22b,1,1,1,507,25,239,53,23259,0,237,0x0000080c,0,0,0,237
1,4,0x2bb073ff,0x3f8396e3,1,1,1,507,24,240,58,24374,0,249,0x0000080c,0,0,0,249
1,5,0xda585ab3,0xa7197ad7,1,1,1,507,23,155,41,19287,0,198,0x0000080c,0,0,0,198
1,6,0x0ed109c0,0x5701ce52,1,1,1,507,9,14,4,4340,0,48,0x0000080c,0,0,0,48
1,7,0x102ecf73,0x53c7612b,1,1,1,507,23,180,52,22217,0,227,0x0000080c,0,0,0,227
1,8,0xcf29b6a1,0x35231a84,1,1,1,507,26,261,85,32101,0,326,0x0000080c,0,0,0,326
1,9,0xc49cbb42,0xd0a3bbb8,1,1,1,507,24,148,68,26778,0,272,0x0000080c,0,0,0,272
1,10,0x4cc51d23,0xee0e3ab4,1,1,1,507,20,93,31,15553,0,160,0x0000080c,0,0,0,160
1,11,0xf9e8aa7a,0x3208c31a,1,1,1,507,23,175,45,23224,0,237,0x0000080c,0,0,0,237
1,12,0xdda8b051,0xc8105c9d,1,1,1,507,18,42,12,9772,0,103,0x0000080c,0,0,0,103
1,13,0xabfb11bf,0xf5dec75e,1,1,1,507,24,218,55,23343,0,237,0x0000080c,0,0,0,237
1,14,0x20639811,0x6b6a7c47,1,1,1,507,21,133,37,17504,0,179,0x0000080c,0,0,0,179
1,15,0xac72acd2,0xca84bc6c,1,1,1,507,27,333,115,40873,0,413,0x0000080c,0,0,0,413
1,16,0x49a2da79,0xe1376725,1,1,1,507,25,225,45,20852,0,214,0x0000080c,0,0,0,214
1,17,0x63a4e9d7,0x6166dba4,1,1,1,507,25,152,45,21362,0,218,0x0000080c,0,0,0,218
1,18,0x8983f102,0x43fb6183,1,1,1,507,24,216,73,28191,0,286,0x0000080c,0,0,0,286
1,19,0xb671aa78,0xc97ad8a2,1,1,1,507,22,122,47,20245,0,208,0x0000080c,0,0,0,208
1,20,0xdaeb566a,0x989e5b3d,1,1,1,507,27,311,109,38608,0,391,0x0000080c,0,0,0,391
1,21,0xf6181c00,0xa345ac4b,1,1,1,507,26,200,68,30091,0,305,0x0000080c,0,0,0,305
1,22,0x4e18d852,0xa08980df,1,1,1,507,15,37,9,7763,0,83,0x0000080c,0,0,0,83
1,23,0xa035ceba,0x611de4c4,1,1,1,507,23,141,35,17822,0,184,0x0000080c,0,0,0,184
1,24,0xc2416ee4,0x7323f479,1,1,1,507,21,159,40,18164,0,187,0x0000080c,0,0,0,187
1,25,0xfbdafbdd,0xa0c0cf2f,1,1,1,507,25,210,79,30150,0,307,0x0000080c,0,0,0,307
1,26,0xa43fbf47,0x8de97b10,1,1,1,507,27,215,66,26972,0,274,0x0000080c,0,0,0,274
1,27,0x6811f7c1,0xcb07044a,1,1,1,507,24,174,41,19649,0,201,0x0000080c,0,0,0,201
1,28,0x610dde2c,0x8cf5deb9,1,1,1,507,25,256,65,26185,0,266,0x0000080c,0,0,0,266
1,29,0x82241b87,0xbbe27f39,1,1,1,507,21,133,39,17889,0,184,0x0000080c,0,0,0,184
1,30,0x48647490,0xea9551eb,1,1,1,507,19,63,26,13994,0,144,0x0000080c,0,0,0,144
1,31,0x63df3b7f,0xa8b057e1,1,1,1,507,27,273,80,30900,0,313,0x0000080c,0,0,0,313
1,32,0x433125bb,0x3221fef0,1,1,1,507,22,93,26,17472,0,179,0x0000080c,0,0,0,179
1,33,0x7943be40,0x6641ee79,1,1,1,507,19,93,27,13847,0,142,0x0000080c,0,0,0,142
1,34,0x26c93252,0x675d2908,1,1,1,507,27,290,107,38319,0,387,0x0000088c,0,0,0,387
1,35,0xdbe3ed49,0xa7cfea56,1,1,1,507,16,40,12,9102,0,96,0x0000080c,0,0,0,96
1,36,0xc2ec9bb4,0xbfc0ae9e,1,1,1,507,24,229,55,23206,0,237,0x0000080c,0,0,0,237
1,37,0xe7ec8559,0x307064ac,1,1,1,507,23,169,44,20205,0,208,0x0000080c,0,0,0,208
1,38,0xccb88b54,0x2cf00158,1,1,1,507,21,123,29,15413,0,159,0x0000080c,0,0,0,159
1,39,0xb512e6a4,0x2b9e708c,1,1,1,507,21,105,30,15844,0,164,0x0000080c,0,0,0,164
1,40,0x7e2c3d82,0xa69fb195,1,1,1,507,18,48,13,10052,0,105,0x0000080c,0,0,0,105
1,41,0x58b3e5ad,0x23a21253,1,1,1,507,24,196,78,29861,0,304,0x0000080c,0,0,0,304
1,42,0x9a07c40b,0x3ea78d8c,1,1,1,507,21,126,35,16969,0,174,0x0000080c,0,0,0,174
1,43,0xf1f9a54b,0x7b00db61,1,1,1,507,28,252,57,28600,0,291,0x0000080c,0,0,0,291
1,44,0xfba6212d,0xb8b8356a,1,1,1,507,28,368,118,41357,0,418,0x0000088c,0,0,0,418
1,45,0x1ca60615,0xd753b84a,1,1,1,507,21,131,33,16261,0,168,0x0000080c,0,0,0,168
1,46,0xa085c93e,0x19b8504d,1,1,1,507,20,96,21,12691,0,132,0x0000080c,0,0,0,132
1,47,0x18190603,0xad0438b2,1,1,1,507,21,120,26,14536,0,150,0x0000080c,0,0,0,150
1,48,0xc1143c78,0xbbdab3cd,1,1,1,507,25,157,37,19236,0,197,0x0000080c,0,0,0,197
1,49,0x332063fc,0x222ba57c,1,1,1,507,23,148,40,18920,0,193,0x0000080c,0,0,0,193
